2010-01-01,2,-11,11,178,10,Midwest
2010-01-01,0,-6,49,192,10,Illinois
2010-01-01,0,-7,57,290,10,Canada
2010-01-01,4,-3,97,211,10,Northeast
2010-01-01,14,2,99,6,10,South Carolina
2010-01-01,8,3,130,63,9,Oregon
2010-01-01,4,-3,97,211,10,Connecticut
2010-01-01,22,11,60,0,11,Other Southeast
2010-01-01,5,-8,16,95,10,New Mexico
2010-01-01,12,0,93,4,10,Georgia
2010-01-01,26,19,118,0,14,Australia
2010-01-01,20,7,24,0,10,Arizona
2010-01-01,4,-3,97,211,10,Other Northeast
2010-01-01,4,-3,97,211,10,New York
2010-01-01,2,-11,11,178,10,Other Midwest
2010-01-01,22,5,4,0,11,Mexico
2010-01-01,1,-5,43,438,10,Ohio
2010-01-01,1,-7,23,0,10,South Korea
2010-01-01,20,10,85,0,10,Other Southwest
2010-01-01,10,2,47,0,10,Japan
2010-01-01,20,10,85,0,10,California
2010-01-01,15,4,67,3,10,Texas
2010-01-01,4,-3,97,211,10,New Jersey
2010-01-01,22,11,60,0,11,Southeast
2010-01-01,22,11,60,0,11,Florida
2010-01-01,0,-6,49,191,10,Michigan
2010-01-01,15,4,15,18,10,Nevada
2010-01-01,20,10,85,0,10,Southwest
2010-02-01,21,10,93,0,11,California
2010-02-01,5,-2,82,243,11,New Jersey
2010-02-01,26,19,131,0,14,Australia
2010-02-01,24,6,2,0,12,Mexico
2010-02-01,23,12,58,0,11,Other Southeast
2010-02-01,17,6,50,65,11,Texas
2010-02-01,10,2,63,0,11,Japan
2010-02-01,23,12,58,0,11,Florida
2010-02-01,5,-2,82,243,11,Connecticut
2010-02-01,0,-7,57,250,11,Canada
2010-02-01,21,10,93,0,11,Other Southwest
2010-02-01,4,-9,15,226,11,Other Midwest
2010-02-01,21,10,93,0,11,Southwest
2010-02-01,17,4,93,15,11,South Carolina
2010-02-01,5,-2,82,243,11,New York
2010-02-01,18,6,15,3,11,Nevada
2010-02-01,2,-4,42,254,11,Michigan
2010-02-01,5,-2,82,243,11,Northeast
2010-02-01,4,-4,23,0,11,South Korea
2010-02-01,14,2,95,3,11,Georgia
2010-02-01,10,3,99,20,10,Oregon
2010-02-01,2,-4,42,254,11,Illinois
2010-02-01,22,9,24,0,11,Arizona
2010-02-01,3,-5,38,370,11,Ohio
2010-02-01,8,-6,13,74,11,New Mexico
2010-02-01,5,-2,82,243,11,Other Northeast
2010-02-01,23,12,58,0,11,Southeast
2010-02-01,4,-9,15,226,11,Midwest
2010-03-01,26,14,78,0,12,Southeast
2010-03-01,23,9,14,0,12,Nevada
2010-03-01,13,5,104,0,12,Japan
2010-03-01,7,1,77,91,12,Michigan
2010-03-01,21,11,63,0,12,Other Southwest
2010-03-01,26,14,78,0,12,Other Southeast
2010-03-01,7,1,77,91,12,Illinois
2010-03-01,21,11,63,0,12,Southwest
2010-03-01,10,2,110,98,12,New Jersey
2010-03-01,22,8,115,3,12,South Carolina
2010-03-01,8,0,2,275,12,Ohio
2010-03-01,21,11,63,0,12,California
2010-03-01,26,14,78,0,12,Florida
2010-03-01,5,-2,50,179,12,Canada
2010-03-01,10,-5,24,215,12,Other Midwest
2010-03-01,10,1,41,0,12,South Korea
2010-03-01,21,10,106,15,12,Texas
2010-03-01,10,2,110,98,12,Other Northeast
2010-03-01,10,2,110,98,12,New York
2010-03-01,10,-5,24,215,12,Midwest
2010-03-01,25,11,31,0,12,Arizona
2010-03-01,25,18,140,0,13,Australia
2010-03-01,26,8,7,0,12,Mexico
2010-03-01,19,6,108,1,12,Georgia
2010-03-01,13,-3,20,85,12,New Mexico
2010-03-01,10,2,110,98,12,Northeast
2010-03-01,10,2,110,98,12,Connecticut
2010-03-01,13,5,99,8,12,Oregon
2010-04-01,23,13,19,0,13,Southwest
2010-04-01,13,6,94,2,14,Michigan
2010-04-01,15,6,73,1,14,Oregon
2010-04-01,14,5,77,68,13,Ohio
2010-04-01,23,13,19,0,13,Other Southwest
2010-04-01,13,6,94,2,14,Illinois
2010-04-01,19,10,139,0,13,Japan
2010-04-01,12,4,71,57,14,Canada
2010-04-01,23,9,88,0,13,Georgia
2010-04-01,27,10,19,0,13,Mexico
2010-04-01,23,15,131,0,12,Australia
2010-04-01,18,7,74,0,13,South Korea
2010-04-01,15,-1,43,169,14,Other Midwest
2010-04-01,17,0,18,18,13,New Mexico
2010-04-01,26,12,75,0,13,South Carolina
2010-04-01,27,12,6,0,13,Nevada
2010-04-01,17,7,109,9,13,Connecticut
2010-04-01,23,13,19,0,13,California
2010-04-01,15,-1,43,169,14,Midwest
2010-04-01,28,17,53,0,13,Southeast
2010-04-01,28,17,53,0,13,Other Southeast
2010-04-01,17,7,109,9,13,New York
2010-04-01,17,7,109,9,13,Northeast
2010-04-01,26,14,86,0,13,Texas
2010-04-01,30,15,6,0,13,Arizona
2010-04-01,17,7,109,9,13,Other Northeast
2010-04-01,17,7,109,9,13,New Jersey
2010-04-01,28,17,53,0,13,Florida
2010-05-01,35,20,5,0,14,Arizona
2010-05-01,22,5,27,0,14,New Mexico
2010-05-01,22,12,112,0,15,New Jersey
2010-05-01,23,15,135,0,14,Japan
2010-05-01,19,12,91,0,15,Illinois
2010-05-01,22,12,112,0,15,Connecticut
2010-05-01,24,15,7,0,14,California
2010-05-01,31,20,90,0,14,Other Southeast
2010-05-01,27,14,96,0,14,Georgia
2010-05-01,22,12,112,0,15,Northeast
2010-05-01,27,12,43,0,13,Mexico
2010-05-01,23,13,100,0,14,South Korea
2010-05-01,22,12,112,0,15,Other Northeast
2010-05-01,22,12,112,0,15,New York
2010-05-01,20,12,103,0,11,Australia
2010-05-01,18,9,48,0,15,Oregon
2010-05-01,19,10,67,0,15,Canada
2010-05-01,30,16,87,0,14,South Carolina
2010-05-01,20,4,66,37,15,Other Midwest
2010-05-01,24,15,7,0,14,Southwest
2010-05-01,31,20,90,0,14,Southeast
2010-05-01,20,4,66,37,15,Midwest
2010-05-01,24,15,7,0,14,Other Southwest
2010-05-01,32,18,8,0,14,Nevada
2010-05-01,20,12,88,1,15,Ohio
2010-05-01,19,12,91,0,15,Michigan
2010-05-01,30,19,117,0,14,Texas
2010-05-01,31,20,90,0,14,Florida
2010-06-01,32,23,195,0,14,Southeast
2010-06-01,27,18,110,0,15,Northeast
2010-06-01,32,23,195,0,14,Florida
2010-06-01,26,13,86,0,14,Mexico
2010-06-01,27,18,115,0,15,South Korea
2010-06-01,25,17,110,0,15,Michigan
2010-06-01,27,18,110,0,15,New York
2010-06-01,26,17,2,0,15,Southwest
2010-06-01,38,23,2,0,15,Nevada
2010-06-01,27,9,41,0,16,Midwest
2010-06-01,17,9,137,0,10,Australia
2010-06-01,26,17,2,0,15,California
2010-06-01,21,12,39,0,16,Oregon
2010-06-01,27,18,110,0,15,Other Northeast
2010-06-01,33,20,130,0,15,South Carolina
2010-06-01,30,18,92,0,15,Georgia
2010-06-01,25,17,110,0,15,Illinois
2010-06-01,32,23,195,0,14,Other Southeast
2010-06-01,40,24,1,0,15,Arizona
2010-06-01,28,10,26,0,15,New Mexico
2010-06-01,24,15,81,0,16,Canada
2010-06-01,34,23,123,0,14,Texas
2010-06-01,26,17,2,0,15,Other Southwest
2010-06-01,25,17,70,0,15,Ohio
2010-06-01,27,18,110,0,15,Connecticut
2010-06-01,26,19,168,0,15,Japan
2010-06-01,27,18,110,0,15,New Jersey
2010-06-01,27,9,41,0,16,Other Midwest
2010-07-01,32,12,31,0,15,Other Midwest
2010-07-01,29,21,116,0,15,Other Northeast
2010-07-01,28,21,93,0,15,Illinois
2010-07-01,32,12,31,0,15,Midwest
2010-07-01,28,21,93,0,15,Michigan
2010-07-01,27,20,79,0,15,Ohio
2010-07-01,29,22,314,0,15,South Korea
2010-07-01,30,13,53,0,15,New Mexico
2010-07-01,29,21,116,0,15,Northeast
2010-07-01,41,26,7,0,15,Nevada
2010-07-01,41,28,22,0,14,Arizona
2010-07-01,32,21,127,0,14,Georgia
2010-07-01,33,24,193,0,14,Southeast
2010-07-01,24,14,23,0,16,Oregon
2010-07-01,33,24,193,0,14,Other Southeast
2010-07-01,29,18,1,0,14,California
2010-07-01,29,21,116,0,15,New Jersey
2010-07-01,27,18,80,0,15,Canada
2010-07-01,29,21,116,0,15,Connecticut
2010-07-01,33,24,193,0,14,Florida
2010-07-01,29,18,1,0,14,Southwest
2010-07-01,35,22,135,0,14,South Carolina
2010-07-01,29,18,1,0,14,Other Southwest
2010-07-01,24,12,116,0,13,Mexico
2010-07-01,17,8,71,0,10,Australia
2010-07-01,29,21,116,0,15,New York
2010-07-01,36,25,48,0,14,Texas
2010-07-01,29,23,141,0,15,Japan
2010-08-01,33,24,198,0,13,Southeast
2010-08-01,29,20,113,0,14,Connecticut
2010-08-01,27,21,101,0,14,Illinois
2010-08-01,31,24,158,0,14,Japan
2010-08-01,34,22,124,0,14,South Carolina
2010-08-01,27,20,85,0,14,Ohio
2010-08-01,39,25,15,0,14,Nevada
2010-08-01,29,19,2,0,14,Southwest
2010-08-01,40,27,23,0,14,Arizona
2010-08-01,31,11,17,0,14,Midwest
2010-08-01,33,24,198,0,13,Florida
2010-08-01,27,21,101,0,14,Michigan
2010-08-01,29,19,2,0,14,California
2010-08-01,33,24,198,0,13,Other Southeast
2010-08-01,26,18,56,0,14,Canada
2010-08-01,29,19,2,0,14,Other Southwest
2010-08-01,31,20,96,0,14,Georgia
2010-08-01,36,25,68,0,14,Texas
2010-08-01,29,20,113,0,14,New Jersey
2010-08-01,25,12,97,0,13,Mexico
2010-08-01,30,22,295,0,14,South Korea
2010-08-01,29,20,113,0,14,New York
2010-08-01,28,12,54,0,14,New Mexico
2010-08-01,29,20,113,0,14,Other Northeast
2010-08-01,29,20,113,0,14,Northeast
2010-08-01,24,14,30,0,15,Oregon
2010-08-01,31,11,17,0,14,Other Midwest
2010-08-01,18,9,85,0,11,Australia
2010-09-01,28,17,94,0,13,Georgia
2010-09-01,29,18,7,0,13,Southwest
2010-09-01,25,5,23,6,13,Midwest
2010-09-01,20,11,66,0,12,Australia
2010-09-01,32,23,161,0,13,Florida
2010-09-01,25,8,39,0,13,New Mexico
2010-09-01,23,17,85,0,13,Michigan
2010-09-01,31,19,97,0,13,South Carolina
2010-09-01,29,18,7,0,13,California
2010-09-01,25,16,111,0,13,Other Northeast
2010-09-01,25,5,23,6,13,Other Midwest
2010-09-01,23,16,83,0,13,Ohio
2010-09-01,24,12,97,0,13,Mexico
2010-09-01,27,21,209,0,13,Japan
2010-09-01,32,23,161,0,13,Other Southeast
2010-09-01,29,18,7,0,13,Other Southwest
2010-09-01,26,17,151,0,13,South Korea
2010-09-01,32,21,104,0,13,Texas
2010-09-01,35,21,5,0,13,Nevada
2010-09-01,23,14,67,0,13,Canada
2010-09-01,23,17,85,0,13,Illinois
2010-09-01,25,16,111,0,13,Northeast
2010-09-01,21,12,48,0,13,Oregon
2010-09-01,25,16,111,0,13,Connecticut
2010-09-01,25,16,111,0,13,New Jersey
2010-09-01,32,23,161,0,13,Southeast
2010-09-01,38,24,17,0,13,Arizona
2010-09-01,25,16,111,0,13,New York
2010-10-01,16,8,81,0,11,Oregon
2010-10-01,28,14,9,0,12,Nevada
2010-10-01,26,12,74,0,12,South Carolina
2010-10-01,18,10,106,2,11,New Jersey
2010-10-01,32,18,19,0,12,Arizona
2010-10-01,17,10,72,2,11,Michigan
2010-10-01,17,0,28,96,11,Midwest
2010-10-01,29,20,76,0,12,Southeast
2010-10-01,27,15,109,0,12,Texas
2010-10-01,18,10,106,2,11,Northeast
2010-10-01,18,10,106,2,11,Other Northeast
2010-10-01,18,10,106,2,11,New York
2010-10-01,18,10,106,2,11,Connecticut
2010-10-01,29,20,76,0,12,Other Southeast
2010-10-01,29,20,76,0,12,Florida
2010-10-01,26,16,13,0,12,California
2010-10-01,26,16,13,0,12,Other Southwest
2010-10-01,22,15,193,0,12,Japan
2010-10-01,15,8,71,2,11,Canada
2010-10-01,24,10,45,0,12,Mexico
2010-10-01,26,16,13,0,12,Southwest
2010-10-01,19,2,30,16,12,New Mexico
2010-10-01,20,10,52,0,12,South Korea
2010-10-01,17,0,28,96,11,Other Midwest
2010-10-01,17,10,74,8,11,Ohio
2010-10-01,17,10,72,2,11,Illinois
2010-10-01,22,14,79,0,13,Australia
2010-10-01,23,10,72,0,12,Georgia
2010-11-01,25,15,39,0,11,Southeast
2010-11-01,10,4,87,7,10,Illinois
2010-11-01,8,-6,16,183,10,Midwest
2010-11-01,12,5,105,8,10,New York
2010-11-01,12,5,105,8,10,Northeast
2010-11-01,25,10,19,0,11,Arizona
2010-11-01,12,5,105,8,10,New Jersey
2010-11-01,20,8,9,0,11,Nevada
2010-11-01,12,5,105,8,10,Other Northeast
2010-11-01,18,5,91,0,11,Georgia
2010-11-01,11,4,60,119,10,Ohio
2010-11-01,20,9,84,0,11,Texas
2010-11-01,12,2,49,0,10,South Korea
2010-11-01,23,7,6,0,12,Mexico
2010-11-01,11,5,137,16,10,Oregon
2010-11-01,11,-4,22,65,11,New Mexico
2010-11-01,17,9,95,0,11,Japan
2010-11-01,23,16,100,0,14,Australia
2010-11-01,23,12,26,0,11,Other Southwest
2010-11-01,12,5,105,8,10,Connecticut
2010-11-01,23,12,26,0,11,Southwest
2010-11-01,23,12,26,0,11,California
2010-11-01,8,-6,16,183,10,Other Midwest
2010-11-01,20,7,75,0,11,South Carolina
2010-11-01,25,15,39,0,11,Florida
2010-11-01,25,15,39,0,11,Other Southeast
2010-11-01,10,4,87,7,10,Michigan
2010-11-01,9,2,63,52,10,Canada
2010-12-01,20,7,25,0,10,Arizona
2010-12-01,6,-8,19,142,10,New Mexico
2010-12-01,15,5,70,15,10,Texas
2010-12-01,16,4,90,0,10,South Carolina
2010-12-01,7,0,106,100,10,New Jersey
2010-12-01,2,-10,17,223,9,Midwest
2010-12-01,7,0,106,100,10,Northeast
2010-12-01,7,0,106,100,10,Other Northeast
2010-12-01,7,0,106,100,10,New York
2010-12-01,7,0,106,100,10,Connecticut
2010-12-01,23,12,52,0,11,Other Southeast
2010-12-01,23,12,52,0,11,Florida
2010-12-01,20,9,57,0,10,California
2010-12-01,20,9,57,0,10,Southwest
2010-12-01,20,9,57,0,10,Other Southwest
2010-12-01,23,12,52,0,11,Southeast
2010-12-01,3,-3,64,296,9,Canada
2010-12-01,8,3,157,63,9,Oregon
2010-12-01,12,4,55,0,10,Japan
2010-12-01,3,-3,72,136,9,Michigan
2010-12-01,5,-1,56,328,10,Ohio
2010-12-01,3,-3,72,136,9,Illinois
2010-12-01,14,3,8,0,10,Nevada
2010-12-01,4,-4,23,0,10,South Korea
2010-12-01,2,-10,17,223,9,Other Midwest
2010-12-01,25,18,76,0,15,Australia
2010-12-01,23,6,5,0,11,Mexico
2010-12-01,13,2,104,1,10,Georgia
