area_id,area_name,land_area,population,number_of_dwellings,number_of_businesses
102011028,Avoca Beach - Copacabana,643.8,7590,2325,738
102011029,Box Head - MacMasters Beach,3208.6,10986,3847,907
102011030,Calga - Kulnura,76795.1,4841,1575,1102
102011031,Erina - Green Point,3379.3,14237,4450,1666
102011032,Gosford - Springfield,1691.2,19385,6373,2126
102011033,Kariong,830.6,6540,1824,352
102011034,Kincumber - Picketts Valley,1208.9,7428,1946,479
102011035,Narara,770.2,6853,2006,292
102011036,Niagara Park - Lisarow,1673.2,8173,2345,477
102011037,Point Clare - Koolewong,678.7,6281,2220,312
102011038,Saratoga - Davistown,476.8,7177,2366,486
102011039,Terrigal - North Avoca,1010.7,14048,4457,1351
102011040,Umina - Booker Bay - Patonga,2522.8,24251,7540,1217
102011041,Wamberal - Forresters Beach,1372.2,10308,2947,924
102011042,Woy Woy - Blackwall,1742.3,14327,4304,691
102011043,Wyoming,838.1,11659,3269,486
102021044,Bateau Bay - Killarney Vale,1086,22465,6941,1035
102021045,Blue Haven - San Remo,2098,11366,3624,290
102021046,Budgewoi - Buff Point - Halekulani,935.3,9639,3648,350
102021047,Chittaway Bay - Tumbi Umbi,2449.9,15697,4947,994
102021048,Gorokan - Kanwal - Charmhaven,1124.9,22567,7562,816
102021049,Jilliby - Yarramalong,34676.6,3520,973,390
102021050,Lake Munmorah - Mannering Park,3549.5,11093,4252,424
102021051,Ourimbah - Fountaindale,11411.7,4996,1317,439
102021052,Summerland Point - Gwandalan,917.9,5904,2143,287
102021053,The Entrance,1385.8,15416,4428,1000
102021054,Toukley - Norah Head,1052.2,10092,3208,588
102021055,Tuggerah - Kangy Angy,2784.6,5480,1420,973
102021056,Warnervale - Wadalba,4289,16365,4387,768
102021057,Wyong,1503.3,9114,2805,645
115011290,Baulkham Hills (East),830.8,24370,6258,1880
115011291,Baulkham Hills (West) - Bella Vista,1096.3,21416,5244,4674
115011294,Glenhaven,723.1,6467,1687,736
115011296,West Pennant Hills,782.9,13244,3543,1503
115011553,Castle Hill - Central,415.1,7992,2236,1803
115011554,Castle Hill - East,207.2,5685,1489,389
115011555,Castle Hill - North,681.5,12409,3296,1347
115011556,Castle Hill - South,412.8,9970,2774,1169
115011557,Castle Hill - West,163.6,5368,1315,520
115011558,Cherrybrook,825.1,19518,4862,1526
115011559,Kellyville,1064.1,25111,6122,1856
115021297,Dural - Kenthurst - Wisemans Ferry,37754,22060,5920,3683
115021298,Galston - Laughtondale,19169.9,5378,1569,816
115031299,Bilpin - Colo - St Albans,216016,2751,858,325
115031300,Kurrajong Heights - Ebenezer,33185,22443,6680,2430
115041301,Pitt Town - McGraths Hill,8155.2,11034,3083,1622
115041302,Rouse Hill - Beaumont Hills,3667.3,24977,5400,2154
116011303,Blacktown (East) - Kings Park,797.5,17868,5044,2319
116011304,Blacktown (North) - Marayong,738.3,18984,4913,867
116011306,Doonside - Woodcroft,991.1,24242,5920,978
116011307,Lalor Park - Kings Langley,1180,25825,7955,2401
116011308,Seven Hills - Toongabbie,1120.3,25379,6182,1616
116011560,Blacktown (South),335.9,12939,2840,723
116011561,Blacktown (West),467.5,16829,4165,830
116021309,Glenwood,511.9,16739,4282,1236
116021310,Parklea - Kellyville Ridge,981.3,34440,7498,2116
116021312,Riverstone - Marsden Park,7942.1,21668,4867,1573
116021562,Acacia Gardens,94.7,3905,272,257
116021563,Quakers Hill,776.8,23972,2761,1246
116031313,Bidwill - Hebersham - Emerton,609.5,18942,4746,424
116031314,Glendenning - Dean Park,514.3,8659,2300,600
116031315,Hassall Grove - Plumpton,620.5,21429,5072,921
116031316,Lethbridge Park - Tregear,1126.7,21997,5899,435
116031317,Mount Druitt - Whalan,868.6,23616,5253,1136
116031318,Prospect Reservoir,3069.2,40,5,500
116031319,Rooty Hill - Minchinbury,1462.4,21912,5062,1194
117011320,Banksmeadow,336.8,21,0,409
117011321,Botany,343.1,11679,2676,1304
117011322,Mascot - Eastlakes,616.5,27068,8150,2580
117011323,Pagewood - Hillsdale - Daceyville,311.9,12097,3340,911
117011324,Port Botany Industrial,280.4,7,0,135
117011325,Sydney Airport,891.1,202,0,9
117021326,Marrickville,581.3,28223,7735,3109
117021327,Petersham - Stanmore,300.3,21633,4947,1917
117021328,Sydenham - Tempe - St Peters,385.4,8461,1757,1087
117031329,Darlinghurst,85.7,12414,3914,2260
117031330,Erskineville - Alexandria,432,17822,4374,3218
117031331,Glebe - Forest Lodge,230.2,21592,5073,1830
117031332,Newtown - Camperdown - Darlington,328.1,27450,5079,2316
117031333,Potts Point - Woolloomooloo,145.9,23809,8751,2874
117031334,Pyrmont - Ultimo,149.1,24083,7599,3933
117031335,Redfern - Chippendale,216.3,25538,7230,2350
117031336,Surry Hills,131.6,18064,5040,4302
117031337,Sydney - Haymarket - The Rocks,429.3,31010,8963,40285
117031338,Waterloo - Beaconsfield,358.1,37929,12544,3597
118011339,Bondi - Tamarama - Bronte,249.6,20310,5913,2183
118011340,Bondi Beach - North Bondi,246.1,22969,6486,2575
118011341,Bondi Junction - Waverly,252.3,18314,4379,3685
118011342,Centennial Park,197.9,3,0,
118011343,Double Bay - Bellevue Hill,471.4,27009,9187,5016
118011344,Dover Heights,187.1,11583,3482,1545
118011345,Paddington - Moore Park,372.5,16657,2815,2463
118011346,Rose Bay - Vaucluse - Watsons Bay,513.6,12729,3668,1950
118011347,Woollahra,128.1,8246,1960,1384
118021348,Coogee - Clovelly,383.6,27729,8467,2567
118021350,Malabar - La Perouse - Chifley,1182.5,26095,5879,1800
118021564,Kensington (NSW),264.2,16291,4270,975
118021565,Kingsford,201.4,16860,4741,1170
118021566,Maroubra - North,181.1,10437,2752,1165
118021567,Maroubra - South,206.5,11314,3254,945
118021568,Maroubra - West,204.6,10999,2932,882
118021569,Randwick - North,193.6,18020,5623,1638
118021570,Randwick - South,337.3,14238,3922,1402
119011354,Bass Hill - Georges Hall,891.6,23154,5539,1472
119011355,Chullora,405,1225,185,465
119011356,Condell Park,1000.4,12180,2196,2202
119011357,Greenacre - Mount Lewis,698.2,27588,5118,2495
119011358,Padstow,650.9,17217,4230,1495
119011359,Panania - Milperra - Picnic Point,1439.1,26873,6720,1674
119011360,Revesby,509.3,17066,3770,1051
119011361,Yagoona - Birrong,556,21834,5129,1419
119011571,Bankstown - North,274.1,17318,4557,1819
119011572,Bankstown - South,442.3,16956,3942,1991
119021362,Belmore - Belfield,451.4,20127,5359,1756
119021363,Canterbury (South) - Campsie,477.8,32907,8806,3094
119021364,Kingsgrove (North) - Earlwood,820.2,25211,7047,2677
119021366,Punchbowl,524.6,21935,4809,2171
119021367,Roselands,364.6,14301,3581,1167
119021573,Lakemba,218.7,18292,4685,1742
119021574,Wiley Park,139.3,11030,2936,910
119031368,Hurstville,364,25742,6691,2992
119031369,Mortdale - Penshurst,611.6,25195,7066,1719
119031370,Narwee - Beverly Hills,339.1,14587,3756,1049
119031371,Oatley - Hurstville Grove,435.5,13401,3828,1139
119031372,Peakhurst - Lugarno,743.1,19093,4893,2180
119031373,Riverwood,277.3,11999,3620,640
119031374,South Hurstville - Blakehurst,624.9,25433,6836,2626
119041375,Arncliffe - Bardwell Valley,499.3,24873,6611,1806
119041376,Bexley,527.8,28200,6726,2132
119041377,Kingsgrove (South) - Bardwell Park,378.7,13463,3869,1211
119041378,Kogarah,222,12226,3571,1460
119041379,Kogarah Bay - Carlton - Allawah,350.3,16943,5239,1517
119041380,Monterey - Brighton-le-Sands - Kyeemagh,338,14936,4649,1363
119041381,Rockdale - Banksia,357.6,21722,6090,2093
119041382,Sans Souci - Ramsgate,461.2,17093,4656,1642
120011383,Concord - Mortlake - Cabarita,631.9,23069,6812,2597
120011384,Concord West - North Strathfield,510.3,26782,8367,2809
120011385,Drummoyne - Rodd Point,370.5,19385,6163,2357
120011386,Five Dock - Abbotsford,462,21692,6800,2635
120021387,Balmain,258.2,16863,2494,2372
120021388,Leichhardt - Annandale,447.2,28402,4530,3345
120021389,Lilyfield - Rozelle,360.4,15152,2835,1803
120031390,Ashfield,367,26125,7870,1947
120031391,Burwood - Croydon,449.3,26524,7053,3477
120031392,Canterbury (North) - Ashbury,302.8,11425,3293,869
120031393,Croydon Park - Enfield,397.1,17929,4264,1560
120031394,Dulwich Hill - Lewisham,270.2,17904,5772,1149
120031395,Haberfield - Summer Hill,347.5,14231,4200,1340
120031396,Homebush,384.3,17810,4806,2127
120031575,Strathfield,645.2,26813,7382,3558
120031576,Strathfield South,251.1,3775,963,574
121011398,Chatswood (East) - Artarmon,506.8,30778,9711,5358
121011399,Chatswood (West) - Lane Cove North,553.7,22776,7327,1851
121011400,Lane Cove - Greenwich,905.6,28619,9026,3823
121011401,St Leonards - Naremburn,276.1,11400,3898,3127
121011402,Willoughby - Castle Cove - Northbridge,1075.2,26858,7672,3338
121021403,Asquith - Mount Colah,3468.5,19107,5524,1510
121021404,Berowra - Brooklyn - Cowan,8175.5,12081,3642,888
121021406,Normanhurst - Thornleigh - Westleigh,998.8,19161,5167,1604
121021577,Hornsby - East,256.9,12568,4444,1599
121021578,Hornsby - West,629,11215,3271,778
121021579,Waitara - Wahroonga (West),211.2,10394,3217,697
121031407,Gordon - Killara,1167.1,22735,6810,2819
121031408,Lindfield - Roseville,1187.7,24556,7422,2797
121031409,Pymble,1025.1,17217,4975,2271
121031410,St Ives,1777.8,21926,6225,2386
121031411,Turramurra,2064.3,19956,6095,2026
121031412,Wahroonga (East) - Warrawee,1332.7,18797,5395,2148
121041413,Cremorne - Cammeray,323.9,20508,7190,2276
121041414,Crows Nest - Waverton,296.1,19347,6259,2958
121041415,Mosman,865,30465,9651,4227
121041416,Neutral Bay - Kirribilli,221.1,19205,7298,2872
121041417,North Sydney - Lavender Bay,191.4,11819,4079,6928
122011418,Balgowlah - Clontarf - Seaforth,761,21485,5771,2617
122011419,Manly - Fairlight,673.5,24022,7572,3000
122021420,Avalon - Palm Beach,860.6,13134,4120,1920
122021421,Bayview - Elanora Heights,6458.3,11357,3225,1529
122021422,Newport - Bilgola,579.8,13935,4377,1874
122021423,Warriewood - Mona Vale,1166.3,25557,6623,3779
122031424,Beacon Hill - Narraweena,434.1,14623,3919,1153
122031425,Cromer,749.2,7855,2247,940
122031426,Dee Why - North Curl Curl,407.3,26829,9303,2413
122031427,Forestville - Killarney Heights,893.1,13405,3869,1178
122031428,Frenchs Forest - Belrose,3013.2,26523,7090,2959
122031429,Freshwater - Brookvale,718.4,22725,7079,4069
122031430,Manly Vale - Allambie Heights,935.4,17831,5319,1517
122031431,Narrabeen - Collaroy,716.2,26301,8126,2401
122031432,Terrey Hills - Duffys Forest,7054.4,3796,1026,591
123011433,Camden - Ellis Lane,2619.3,13399,3795,1270
123011434,Elderslie - Harrington Park,2154.1,22914,6094,1719
123011435,Mount Annan - Currans Hill,2613.4,30374,8224,1838
123021436,Bradbury - Wedderburn,3665.6,19620,5402,625
123021437,Campbelltown - Woodbine,1374.8,19339,5360,1744
123021438,Claymore - Eagle Vale - Raby,2291.7,20971,5204,792
123021439,Holsworthy Military Area,12982.3,,0,
123021440,Ingleburn - Denham Court,3091.9,21757,4580,1965
123021441,Leumeah - Minto Heights,2364.6,17032,4994,683
123021442,Macquarie Fields - Glenfield,1601.8,24556,5273,1049
123021443,Minto - St Andrews,1241.3,21039,5322,1345
123021444,Rosemeadow - Glen Alpine,4808.3,21497,5712,863
123031445,Bargo,6777.1,5907,1704,449
123031446,Douglas Park - Appin,28994.6,10468,2752,885
123031447,Picton - Tahmoor - Buxton,18990.8,17440,5109,1330
123031448,The Oaks - Oakdale,32273.5,9389,2631,1015
124011449,Blackheath - Megalong Valley,13921.7,5654,2302,446
124011450,Blaxland - Warrimoo - Lapstone,2969.4,19401,6200,1362
124011451,Blue Mountains - North,59503.7,13,6,3
124011452,Katoomba - Leura,4087.3,13718,5053,1160
124011453,Lawson - Hazelbrook - Linden,4688.7,11473,4106,623
124011454,Springwood - Winmalee,6966.5,22107,7083,1429
124011455,Wentworth Falls,2103.6,6264,2297,426
124021456,Blue Mountains - South,245690.9,4,3,
124031457,Cambridge Park,658.7,15976,4898,587
124031458,Castlereagh - Cranebrook,7151.7,25698,6709,1410
124031459,Emu Plains - Leonay,1379.4,14546,4419,1018
124031460,Glenmore Park - Regentville,923.3,21836,5949,1143
124031461,Jamisontown - South Penrith,901.8,17666,5531,1188
124031462,Kingswood - Werrington,1402.3,20855,4884,960
124031463,Mulgoa - Luddenham - Orchard Hills,15867.8,10395,2655,1156
124031464,Penrith,1039.4,14119,3808,1936
124031465,Warragamba - Silverdale,6361.4,5395,1562,521
124041466,Richmond - Clarendon,7467.3,14185,3956,1134
124041467,Windsor - Bligh Park,2273,15698,4299,1253
124041468,Yarramundi - Londonderry,8143.6,7732,1647,814
124051469,Erskine Park,839.4,6569,1880,402
124051470,St Clair,720.4,20358,5988,951
124051580,Colyton - Oxley Park,465.2,12073,3148,420
124051581,St Marys - North St Marys,1286.5,16796,4406,1397
125011473,Homebush Bay - Silverwater,1126.2,21158,5729,2807
125011475,Rookwood Cemetery,301.5,3,0,3
125011582,Auburn - Central,373.3,18575,3892,1745
125011583,Auburn - North,209.7,12390,3081,1317
125011584,Auburn - South,243.1,9118,1787,902
125011585,Berala,208.7,9496,2341,679
125011586,Lidcombe,640.4,21764,4580,2325
125011587,Regents Park,203.3,5339,1504,569
125021476,Carlingford,974.6,29386,7643,2604
125021477,Ermington - Rydalmere,986.5,22869,4929,2105
125021478,Oatlands - Dundas Valley,607.6,18791,4029,1544
125031479,Chester Hill - Sefton,726.8,19565,4553,1504
125031480,Fairfield - East,571.2,16214,3976,1201
125031481,Granville - Clyde,560.8,22322,5301,2159
125031482,Greystanes - Pemulwuy,1184.9,27759,7339,1890
125031483,Guildford - South Granville,679.6,22367,4746,1790
125031484,Guildford West - Merrylands West,546.5,21948,5274,1523
125031485,Merrylands - Holroyd,671.9,30577,7131,2601
125031486,Smithfield Industrial,430.2,35,0,684
125031487,Yennora Industrial,207.9,23,3,190
125041489,North Parramatta,706.1,23756,6700,2422
125041490,North Rocks,537.6,8290,2283,848
125041491,Northmead,593.3,22066,6026,1671
125041492,Parramatta - Rosehill,849.7,32712,9497,5067
125041493,Toongabbie - Constitution Hill,748,22902,5689,1466
125041494,Winston Hills,434.8,11207,3337,810
125041588,Pendle Hill - Girraween,446.2,13775,2765,1203
125041589,Wentworthville - Westmead,393.6,16807,4138,1282
126011495,Epping - North Epping,888.1,28975,7994,2598
126011496,Pennant Hills - Cheltenham,1329.4,21462,6076,2050
126021497,Eastwood - Denistone,782,26634,6662,2624
126021498,Gladesville - Huntleys Point,471.6,15284,4634,2114
126021499,Hunters Hill - Woolwich,415.1,10876,2805,1421
126021500,Macquarie Park - Marsfield,1067.2,23239,5028,2077
126021501,North Ryde - East Ryde,622.3,12970,3434,1285
126021503,West Ryde - Meadowbank,479.2,20901,6851,1873
126021590,Putney,151.9,4315,1131,554
126021591,Ryde,726.8,29885,8733,2301
127011504,Ashcroft - Busby - Miller,546.3,17924,4854,508
127011505,Austral - Greendale,11071.5,9121,2353,1414
127011506,Cobbitty - Leppington,13213.8,22559,5119,1555
127011592,Badgerys Creek,1757.7,62,18,12
127011593,Cecil Hills,374.8,7321,1725,586
127011594,Green Valley,321.5,13085,2752,722
127011595,Hinchinbrook,522.5,13283,2843,672
127011596,Hoxton Park - Carnes Hill - Horningsea Park,412.6,12536,2919,633
127011597,West Hoxton - Middleton Grange,926.3,16582,3657,1021
127021509,Bonnyrigg Heights - Bonnyrigg,518.9,16818,3758,852
127021510,Bossley Park - Abbotsbury,951.5,19838,5043,1364
127021511,Cabramatta - Lansvale,759.6,26089,5800,1872
127021512,Cabramatta West - Mount Pritchard,534.3,18095,4337,926
127021513,Canley Vale - Canley Heights,541.6,21874,4809,1045
127021514,Edensor Park,309.6,10336,2448,721
127021515,Fairfield,423,18664,4786,1364
127021516,Fairfield - West,469.2,20214,4309,959
127021517,Greenfield Park - Prairiewood,363.7,8716,2066,493
127021518,Horsley Park - Kemps Creek,5627.7,4664,1150,963
127021519,Smithfield - Wetherill Park,661.2,18918,4902,1393
127021520,St Johns Park - Wakeley,361.1,11317,2721,624
127021521,Wetherill Park Industrial,855.7,46,0,1693
127031522,Casula,707.2,16488,3430,1092
127031523,Chipping Norton - Moorebank,1449,19823,5132,2431
127031524,Holsworthy - Wattle Grove,7370,21699,5392,1148
127031598,Liverpool,631.9,29585,7443,2589
127031599,Lurnea - Cartwright,346.7,12310,2897,462
127031600,Prestons - Edmondson Park,1413.2,19219,4408,1668
127031601,Warwick Farm,465,6470,1981,330
128011529,Gymea - Grays Point,579.8,18057,5103,1421
128011530,Miranda - Yowie Bay,599.7,18975,5471,2217
128011531,Sylvania - Taren Point,607.3,16733,4449,2301
128011602,Caringbah,399.6,12388,3441,2052
128011603,Caringbah South,407,12572,3236,1157
128011604,Cronulla - Kurnell - Bundeena,2508.7,24795,9038,2485
128011605,Lilli Pilli - Port Hacking - Dolans Bay,127.1,3265,912,442
128011606,Woolaware - Burraneer,332.8,8260,2143,924
128021533,Heathcote - Waterfall,2761.6,6674,1964,377
128021534,Illawong - Alfords Point,729.8,10756,3032,1138
128021535,Menai - Lucas Heights - Woronora,3340.5,21656,5523,1595
128021536,Oyster Bay - Como - Jannali,890.5,22084,5931,1591
128021537,Royal National Park,13933.4,28,4,3
128021538,Sutherland - Kirrawee,775.5,21760,6924,2086
128021607,Engadine,895.4,17424,5219,1121
128021608,Loftus - Yarrawarrah,384.4,7426,2177,417
128021609,Woronora Heights,313.7,3681,1050,259
